Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
11983,Pac-Man Championship Edition 2 + Arcade Game Series,PS4,Namco Bandai Games,Namco Bandai Games,,,0.1,2017
11984,F1 Career Challenge,PS2,EA Sports,Visual Science,7.4,,0.1,2003
11985,Yoostar2,PS3,Unknown,Blitz Game Studios,,,0.1,2011
11986,Pariah,XB,Groove Games,Unknown,8,,0.1,2005
11987,World Series of Poker: Tournament of Champions 2007 Edition,PSP,Activision,Left Field Productions,6.4,,0.1,2006
11988,Cabela's Outdoor Adventures,XB,Activision,FUN Labs,,,0.1,2005
11989,Battleplan: American Civil War,PC,Kiss,The Mustard Corporation,,,0.1,2014
11990,Metal Slug 3,XB,SNK,SNK Corporation,6.8,,0.1,2004
11991,The Lord of the Rings: Conquest,DS,Electronic Arts,Artificial Mind and Movement,5.9,,0.1,2009
11992,Motocross Mania 3,PS2,2K Games,Deibus Studios,3.8,,0.1,2005
11993,Princess Debut,DS,Natsume,Cave,7,,0.1,2008
11994,Pro Yakyuu Famista DS 2009,DS,Namco Bandai,Bandai Namco Games,,,0.1,2009
11995,"Sesame Street: Ready, Set, Grover!",Wii,Warner Bros. Interactive,Griptonite Games,,,0.1,2011
11996,Thrillville: Off the Rails,PSP,LucasArts,Frontier Developments,7.6,,0.1,2007
11997,NHL-Legacy Edition,X360,EA Sports,EA Canada,,,0.1,2015
11998,Banjo-Pilot,GBA,THQ,Rare Ltd.,6.2,,0.1,2005
11999,Cloudy With a Chance of Meatballs,PS3,Ubisoft,Ubisoft Shanghai,6.7,,0.1,2009
12000,Gallop Racer 2006,PS2,Tecmo,Tecmo,8.5,,0.1,2006
12001,Dora's Big Birthday Adventure,Wii,2K Play,TBA,,,0.1,2010
12002,Digimon Story: Lost Evolution,DS,Namco Bandai,Namco Bandai Games,,,0.1,2010
12003,Frogger: Ancient Shadow,PS2,Konami,Hudson Soft,5.3,,0.1,2005
12004,Despicable Me: The Game,PS2,D3 Publisher,Monkey Bar Games,,,0.1,2010
12005,Tom Clancy's Splinter Cell: Conviction,PC,Ubisoft,Ubisoft Montreal,8,,0.1,2010
12006,Metal Arms: Glitch in the System,GC,VU Games,Swingin' Ape Studios,8.3,,0.1,2003
12007,Imagine: Soccer Captain,DS,Ubisoft,Ubisoft,,,0.1,2009
12008,Tom Clancy's Splinter Cell: Chaos Theory,GC,Ubisoft,Ubisoft Montreal,7.8,,0.1,2005
12009,Blades of Time,X360,Konami Digital Entertainment,Gaijin Games Inc.,,,0.1,2012
12010,Brain Quest: Grades 5 & 6,DS,Electronic Arts,Planet Moon Studios,,,0.1,2008
12011,Putrefaction,PC,Kazakov Oleg,Kazakov Oleg,,,0.1,2015
12012,Barbie in The 12 Dancing Princesses,DS,Activision,WayForward Technologies,,,0.1,2007
12013,Escape From Monkey Island,PS2,LucasArts,LucasArts,8.7,,0.1,2001
12014,JU-ON: The Grudge,Wii,Xseed Games,FeelPlus,4,,0.1,2009
12015,Monster Prom,PC,Those Awesome Guys,Beautiful Glitch,7.3,6.7,0.1,2018
12016,Ridge Racer 2,PSP,Unknown,Namco Bandai Games,7.5,,0.1,2006
12017,Yggdra Union: We'll Never Fight Alone,PSP,Atlus,Sting,7.7,,0.1,2008
12018,Rusty Lake: Roots,PC,Rusty Lake,Rusty Lake,,,0.1,2016
12019,PDC World Championship Darts: Pro Tour,PS3,O-Games,O-Games,,,0.1,2010
12020,Who Wants to Be a Millionaire: 3rd Edition,Wii,Ubisoft,Ubisoft,,,0.1,2010
12021,Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,Sony Computer Entertainment,Millennium Kitchen,,,0.1,2006
12022,Exit DS,DS,Taito,Taito Corporation,6.5,,0.1,2008
12023,AXYOS,PC,Axyos Games,Axyos Games,,,0.1,2018
12024,Tokyo Xanadu eX+,PS4,Aksys Games,Nihon Falcom Corporation,7.5,7.4,0.1,2017
12025,Family Fun Football,Wii,Tecmo,"Seamless Entertainment, Inc.",4,,0.1,2009
12026,Macross 30: Voices across the Galaxy,PS3,Namco Bandai Games,ArtDink,,,0.1,2013
12027,Gretzky NHL,PSP,Sony Computer Entertainment,989 Sports,6,,0.1,2005
12028,Mobile Suit Gundam Unicorn,PS3,Namco Bandai Games,From Software,,,0.1,2012
12029,Corvette Evolution GT,DS,Valcon Games,Firebrand Games,4.8,,0.1,2008
12030,Universe at War: Earth Assault,X360,Sega,Petroglyph Games,6.3,,0.1,2008
12031,Momotarou Dentetsu 16,Wii,Hudson Soft,Hudson Soft,,,0.1,2007
12032,Stardew Valley,PS4,505 Games,ConcernedApe,8.8,7.6,0.1,2017
12033,Dropship: United Peace Force,PS2,BAM! Entertainment,Psygnosis Camden Studio,7.9,,0.1,2002
12034,Albert and Otto,PC,K Bros Games,K Bros Games,,,0.1,2015
12035,Road Rash: Jailbreak,GBA,DSI Games,Magic Pockets,7.9,,0.1,2003
12036,Everything,PC,Double Fine Presents,David OReilly,,,0.1,2017
12037,Syberia,XB,XS Games,Microids,6.1,,0.1,2003
12038,The Seven Deadly Sins: Knights of Britannia,PS4,Bandai Namco Entertainment,Natsume Atari,5.5,5.9,0.1,2018
12039,WireWay,DS,Konami,Konami,6,,0.1,2009
12040,Little Racers STREET,PC,Milkstone Studios,Milkstone Studios S.L.,,,0.1,2014
12041,G1 Jockey 3,PS2,KOEI,Koei/Inis,,,0.1,2003
12042,Disgaea Infinite,PSP,NIS America,Nippon Ichi Software,6.8,,0.1,2010
12043,How to Train Your Dragon 2,PS3,Little Orbit,Torus Games,,,0.1,2014
12044,Phantom Brave: The Hermuda Triangle,PSP,NIS America,Nippon Ichi Software,7.2,,0.1,2011
12045,Atsumare! Power Pro Kun no DS Koushien,DS,Konami,PawaPuro Production,,,0.1,2006
12046,Revolution X,PS,Acclaim Entertainment,Rage Software,1,,0.1,1996
12047,Final Fantasy VI,PC,Square Enix,Square Enix,,,0.1,2015
12048,Little Battlers eXperience W Super Custom,3DS,Level 5,Level 5,,,0.1,2013
12049,Terraria,PSV,505 Games,Engine Software,9.2,7.9,0.1,2013
12050,Brooktown High: Senior Year,PSP,Konami,Backbone Entertainment,,,0.1,2007
12051,Riviera: The Promised Land,GBA,Atlus,Sting,8.7,,0.1,2005
12052,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,Konami,Konami,7.5,,0.1,2009
12053,Tom Clancy's Ghost Recon: Predator,PSP,Ubisoft,Ubisoft,6,,0.1,2010
12054,Orbt XL,PC,Nickervision Studios,Nickervision Studios,,,0.1,2017
12055,UEFA Euro 2016,PS3,Konami Digital Entertainment,Konami Digital Entertainment,,,0.1,2016
12056,Top Gun: Combat Zones,GBA,Mastiff,Titus Software,,,0.1,2004
12057,Bujingai: The Forsaken City,PS2,BAM! Entertainment,RED Entertainment,7.4,,0.1,2004
12058,Doko Demo Issho,PSP,Sony Computer Entertainment,Sony Computer Entertainment,,,0.1,2004
12059,Karaoke Revolution,PS3,Konami,Blitz Games,,,0.1,2009
12060,Valhalla Hills,PC,Daedalic Entertainment,Funatics Software,6.9,6.8,0.1,2015
12061,Chameleon,PSP,UFO Interactive,Starfish,3,,0.1,2008
12062,Beyond Good & Evil,XB,Ubisoft,Ubisoft Montpellier,,,0.1,2003
12063,Midsummer Night,PC,Siberian Digital,Everlasting Fantasy,,,0.1,2016
12064,Death By Degrees,PS2,Namco,Namco,,,0.1,2005
12065,Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,Atlus,AI,,,0.1,1995
12066,Samurai Warriors Chronicles 2nd,3DS,Tecmo Koei,Omega Force,,,0.1,2012
12067,Vandal Hearts II,PS,Konami,Konami,7.2,,0.1,1999
12068,Astro Boy: The Video Game,DS,D3 Publisher,Art Corporation,4.4,,0.1,2009
12069,Romance of the Three Kingdoms XIII,PS4,Tecmo Koei,Koei Tecmo Games,6.7,7.1,0.1,2016
12070,Toaru Majutsu no Index,PSP,Kadokawa Shoten,ASCII Media Works,,,0.1,2011
12071,Marvel Super Hero Squad: The Infinity Gauntlet,3DS,THQ,THQ,4.8,,0.1,2011
12072,Truth or Lies,Wii,THQ,Big Ant Studios,4,,0.1,2010
12073,The Book of Unwritten Tales,PC,DreamCatcher Interactive,KING Art Games,7.9,8.3,0.1,2011
12074,Miami Law,DS,Hudson Entertainment,Gaijinworks,5.5,,0.1,2009
12075,UNO / Skip-Bo / UNO Freefall,DS,DSI Games,Black Lantern Studios,,,0.1,2006
12076,Adventures of Shuggy,PC,Smudged Cat Games,Smudged Cat Games,,,0.1,2012
12077,Uta no Prince-Sama: Music,PSP,Broccoli,Broccoli,,,0.1,2011
12078,Cargo Commander,PC,Missing Link Games,Serious Brew,6.3,6.9,0.1,2012
12079,Culdcept DS,DS,Sega,OmiyaSoft,,,0.1,2008
12080,America's Next Top Model,DS,Conspiracy Entertainment,Independent Arts Software,,,0.1,2010
12081,Devil Daggers,PC,Sorath,Sorath,8.3,7.1,0.1,2016
12082,Colin McRae Rally 04,XB,Codemasters,Unknown,8.7,,0.1,2004
12083,Gloria Victis,PC,Black Eye Games,Black Eye Games,,,0.1,2016
12084,FIFA Street,XB,EA Sports BIG,EA Canada,,,0.1,2005
12085,Monster Jam: Maximum Destruction,GBA,Ubisoft,UDS,5.5,,0.1,2002
12086,The King of Fighters: Dream Match 1999,DC,SNK,SNK Corporation,7.2,,0.1,1999
12087,Blitz: The League II,X360,Midway Games,Midway Games,6.6,,0.1,2008
12088,Bloop Reloaded,PC,Kiss,2SD,,,0.1,2015
12089,PictoImage,DS,Sega,Sega,,,0.1,2008
12090,Weiss Schwarz Portable,PSP,Namco Bandai,Namco Bandai Games,,,0.1,2011
12091,Age of Steel: Recharge,PC,Quaint Emerald,Quaint Emerald,,,0.1,2016
12092,Heavy Fire: Afghanistan,Wii,Mastiff,Teyon Entertainment,,,0.1,2011
12093,Kirarin * Revolution: Mezase! Idol Queen,DS,Konami,Konami,,,0.1,2007
12094,Dungeons & Dragons Tactics,PSP,Atari,Kuju Entertainment,5.2,,0.1,2007
12095,MXGP 2,XOne,Milestone S.r.l,Milestone S.r.l.,,,0.1,2016
12096,X-Men: Children of the Atom,PS,Capcom,Probe Entertainment Limited,3.5,,0.1,1998
12097,Hot Wheels: Stunt Track Challenge,XB,THQ,Climax Group,6.5,,0.1,2004
12098,iBomber Defense Pacific,PC,Cobra Mobile,Cobra Mobile,,,0.1,2012
12099,Hexcells Infinite,PC,Matthew Brown,Matthew Brown,,,0.1,2014
12100,Agatha Christie: The ABC Murders,DS,DreamCatcher Interactive,DreamCatcher Interactive,6,,0.1,2009
12101,Math Blaster in the Prime Adventure,DS,Majesco,Knowledge Adventure Inc.,,,0.1,2009
12102,Blue Stinger,DC,Activision,Climax Entertainment,6.7,,0.1,1999
12103,Shellshock,PS,U.S. Gold,Core Design Ltd.,7,,0.1,1998
12104,Z,PC,Virgin Interactive,Bitmap Brothers,,,0.1,1996
12105,Warriors All-Stars,PS4,Tecmo Koei,Omega Force,7,6.5,0.1,2017
12106,Hot Wheels Ultimate Racing,PSP,Activision,Unknown,,,0.1,2007
12107,Monkey Island: Special Edition Collection,PS3,Activision,LucasArts,,,0.1,2011
12108,The Elder Scrolls Online: Summerset,PS4,Bethesda Softworks,ZeniMax Online Studios,7.5,5.4,0.1,2018
12109,Capcom vs. SNK 2 EO,XB,Capcom,Capcom,8.6,,0.1,2003
12110,SimAnimals Africa,DS,Electronic Arts,The Sims Studio,6.7,,0.1,2009
12111,Inazuma Eleven GO Strikers 2013,Wii,Level 5,Level 5,,,0.1,2012
12112,Metal Gear Solid HD Edition,PS3,Konami Digital Entertainment,Unknown,,,0.1,2011
12113,Hunter: The Reckoning,GC,Interplay,High Voltage Software,7.1,,0.1,2002
12114,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,Paon,Paon Corporation,,,0.1,2007
12115,Dancing on Ice,Wii,Ghostlight,Infusion Games Ltd,,,0.1,2010
12116,Urban Chaos,PS,Eidos Interactive,Mucky Foot Productions,4.5,,0.1,2000
12117,Homeworld: Deserts of Kharak,PC,Gearbox Publishing,Blackbird Interactive,7.9,7.9,0.1,2016
12118,Kamen Rider: Climax Heroes W,Wii,Namco Bandai,Eighting,,,0.1,2009
12119,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,Shogakukan,Jupiter Corporation,,,0.1,2007
12120,Freaky Flyers,PS2,Midway Games,Midway Games,7,,0.1,2003
12121,NASCAR Heat 3,XOne,704Games,Monster Games,6.8,8.3,0.1,2018
12122,Starlink: Battle for Atlas,PS4,Ubisoft,Ubisoft Toronto,7,5.4,0.1,2018
12123,Baten Kaitos Origins,GC,Nintendo,tri-Crescendo / Monolith Soft,7.5,,0.1,2006
12124,E?úO?úE: Eve Of Extinction,PS2,Eidos Interactive,Yuke's Future Media Creators,,,0.1,2002
12125,Mega Man Legacy Collection 2,PS4,Capcom,Capcom,7.1,7.2,0.1,2017
12126,Surf's Up,X360,Ubisoft,Ubisoft Montreal,6.2,,0.1,2007
12127,Dark Summit,XB,THQ,Radical Entertainment,7.9,,0.1,2001
12128,Generator Rex: Agent of Providence,3DS,Activision,Virtuos,,,0.1,2011
12129,Penguin no Mondai: The World,DS,Konami,Konami,,,0.1,2010
12130,Flushed Away,DS,D3 Publisher,Art,4,,0.1,2006
12131,Cabela's Adventure Camp,X360,Activision,Activision,,,0.1,2011
12132,Zone of the Enders: The 2nd Runner MARS,PS4,Konami,Cygames,7.1,7.7,0.1,2018
12133,Hakuouki Portable,PSP,Idea Factory,Idea Factory,,,0.1,2009
12134,Hyperdimension Neptunia Re;Birth 3: V Generation,PSV,Idea Factory International,Compile Heart,,,0.1,2015
12135,NHL 2004,GC,EA Sports,EA Black Box,8.8,,0.1,2003
12136,X-Men: The Official Game,XB,Activision,"Z-Axis, Ltd.",4.8,,0.1,2006
12137,RLH: Run Like Hell,PS2,Interplay,Digital Mayhem,,,0.1,2002
12138,Help Wanted: 50 Wacky Jobs,Wii,Hudson Soft,Hudson Soft,,,0.1,2009
12139,Life Beetle,PC,Dagestan Technology,Grizlikyt,,,0.1,2017
12140,LiEat,PC,AGM Playism,Miwashiba,,,0.1,2016
12141,Backyard Baseball '10,Wii,Atari,Atari,,,0.1,2009
12142,Water Sports,Wii,GameMill,FrontLine Studios,,,0.1,2009
12143,Digimon Adventure,PSP,Namco Bandai Games,PROPE,,,0.1,2013
12144,Record of Agarest War Zero,X360,Aksys Games,Compile Heart,6.5,,0.1,2011
12145,Starlink: Battle for Atlas,XOne,Ubisoft,Ubisoft Toronto,7.8,6.7,0.1,2018
12146,Conflict: Global Terror,XB,2K Games,Pivotal Games,6,,0.1,2005
12147,Minority Report: Everybody Runs,GC,Activision,Treyarch,,,0.1,2002
12148,Scribblenauts Unmasked: A DC Comics Adventure,WiiU,Warner Bros. Interactive Entertainment,5TH Cell,9.1,6.3,0.1,2013
12149,The Ant Bully,PS2,Midway Games,Artificial Mind and Movement,,,0.1,2006
12150,Steins;Gate,PSV,5pb,5pb. Inc.,8.3,8.7,0.1,2015
12151,Salt,PC,Lavaboots Studios,Lavaboots Studios,,,0.1,2018
12152,Football Director DS,DS,Pinnacle,Sports Director Limited,,,0.1,2008
12153,aMAZE,PC,Blender Games,Blender Games,,,0.1,2017
12154,Monster Rancher EVO,PS2,Tecmo,Tecmo,6.5,,0.1,2006
12155,Assassin's Creed: Rogue,PC,Ubisoft,Ubisoft Sofia,,,0.1,2015
12156,Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,Bethesda Softworks,Bethesda Softworks,,,0.1,2009
12157,Project Hacker: Kakusei,DS,Nintendo,RED Entertainment,,,0.1,2006
12158,Deca Sports DS,DS,Hudson Soft,Hudson Soft,,,0.1,2010
12159,X-Men: Destiny,Wii,Activision,Silicon Knights,3.3,,0.1,2011
12160,KORG DS-10 Synthesizer Plus,DS,Xseed Games,AQ Interactive,,,0.1,2010
12161,Guitar Hero: Van Halen,PS2,Activision,Neversoft Entertainment,4.9,,0.1,2009
12162,Knights of Pen and Paper 2,PC,Paradox Interactive,Kyy Games,,,0.1,2015
12163,Olympic Summer Games: Atlanta 1996,PS,Eidos Interactive,Silicon Dreams,,,0.1,1996
12164,Igor: The Game,Wii,SouthPeak Interactive,Legacy Interactive,,,0.1,2008
12165,The Destiny of Zorro,Wii,505 Games,Pronto Games,,,0.1,2009
12166,Disney's The Haunted Mansion,GC,TDK Mediactive,High Voltage Software,,,0.1,2003
12167,Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,Capcom,Eighting,,,0.1,2008
12168,Draglade,DS,Atlus,Dimps Corporation,7,,0.1,2007
12169,BallisticNG,PC,Neognosis,Neognosis,,,0.1,2018
12170,The Smurfs 2,Wii,Ubisoft,Way Forward,,,0.1,2013
12171,Darius Gaiden,SAT,Acclaim Entertainment,Aisystem Tokyo,,,0.1,1996
12172,All Kamen Rider: Rider Generation 2,DS,Namco Bandai Games,Bandai Namco Games,,,0.1,2012
12173,Beach Spikers: Virtua Beach Volleyball,GC,Sega,Sega-AM2,7.1,,0.1,2002
12174,Scribblenauts Unmasked: A DC Comics Adventure,3DS,Warner Bros. Interactive Entertainment,5TH Cell,9.1,6.1,0.1,2013
12175,My Healthy Cooking Coach,DS,Ubisoft,Ubisoft,,,0.1,2009
12176,You Don't Know Jack: Mock 2,PS,Sierra Entertainment,"Jellyvision, Inc.",,,0.1,2000
12177,3D Tank Warfare Simulator Panzer Front,PS,Agetec,Enterbrain,,,0.1,2001
12178,Leisure Suit Larry: Box Office Bust,PS3,Codemasters,Team17 Software,2,,0.1,2009
12179,Jade Cocoon 2,PS2,Ubisoft,Genki,7.9,,0.1,2001
12180,Lord of Apocalypse,PSV,Square Enix,Access Games,,,0.1,2011
12181,Harry Potter and the Deathly Hallows - Part 1,PC,Electronic Arts,EA Bright Light,,,0.1,2010
12182,Final Fantasy XIV Online Complete Edition,PS4,Square Enix,Square Enix,,,0.1,2017
12183,Kabushiki Baibai Trainer: Kabutore!,DS,Konami,Kojima Productions,,,0.1,2006
12184,Devil May Cry 4 Special Edition,PS4,Capcom,Capcom,,,0.1,2015
12185,Puyo Puyo Tetris,PS4,Sega,Sonic Team,8.3,7.4,0.1,2017
12186,Sword & Sorcery,SAT,Micro Cabin,Micro Cabin,,,0.1,1996
12187,Myst,DS,Empire Interactive,Hopelite Research,4,,0.1,2008
12188,Van Helsing,GBA,VU Games,Saffire Corporation,2.5,,0.1,2004
12189,Bee Movie Game,PS2,Activision,Beenox,6.5,,0.1,2007
12190,Just Dance 2019,WiiU,Ubisoft,Ubisoft Paris,,,0.1,2018
12191,Space Pirates And Zombies 2,PC,MinMax Games Ltd.,MinMax Games Ltd.,,,0.1,2017
12192,Rugby 15,PS3,Maximum Games,HB Studios,,,0.1,2015
12193,Deathtrap,PC,NeocoreGames,Neocore Games,7.7,7.7,0.1,2015
12194,Sudoku Mania,DS,UFO Interactive,FrontLine Studios,,,0.1,2006
12195,NASCAR Heat Evolution,XOne,Dusenberry Martin Racing,Monster Games,,,0.1,2016
12196,USA Today Puzzle Craze,DS,Destineer,Magellan Interactive,7.9,,0.1,2009
12197,Kelly Slater's Pro Surfer,XB,Activision,Treyarch,8.9,,0.1,2002
12198,Machi-Ing Maker 3 x Tousouchuu,PSP,D3 Publisher,"Indi Software Co., Ltd.",,,0.1,2010
12199,SVC Chaos: SNK vs. Capcom,XB,SNK,SNK Corporation,,,0.1,2004
12200,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,Activision,PlatinumGames,,,0.1,2016
12201,NAtURAL DOCtRINE,PS4,NIS America,Kadokawa Games,,,0.1,2014
12202,NFL Tour,X360,EA Sports BIG,EA Tiburon,4.7,,0.1,2008
12203,World Snooker Championship 2007,PS3,Sega,Blade Interactive,,,0.1,2007
12204,Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,Bandai,Emotion,,,0.1,1997
12205,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,Global Star Software,High Voltage Software,,,0.1,2005
12206,Retrovirus,PC,Cadenza Interactive,Cadenza Interactive,6.6,6.7,0.1,2013
12207,Sudden Strike 4,PS4,Kalypso Media,Kite Games,6.3,7.2,0.1,2017
12208,Surge Concerto: Ciel nosurge,PSV,Gust,Gust,,,0.1,2012
12209,Vanishing Point,PS,Acclaim Entertainment,Clockwork Games,4.5,,0.1,2001
12210,The History Channel: Civil War - Secret Missions,PS3,Activision,Cauldron Ltd.,,,0.1,2008
12211,Dragonseeds,PS,Jaleco,Unknown,,,0.1,1998
12212,The Bard's Tale,XB,inXile Entertainment,InXile Entertainment,8.2,,0.1,2004
12213,Dora & Kai-Lan's Pet Shelter,DS,2K Play,Black Lantern Studios,,,0.1,2011
12214,Nodame Cantabile,DS,Namco Bandai,Bandai Namco Games,,,0.1,2007
12215,Blackguards 2,PC,Daedalic Entertainment,Daedalic Entertainment,7.4,7.4,0.1,2015
12216,Attack of the Movies 3D,Wii,Majesco,Panic Button Games Inc.,4.5,,0.1,2010
12217,Alien Hominid,PS2,O~3 Entertainment,The Behemoth,8.1,,0.1,2004
12218,Rento Fortune - Online Dice Board Game,PC,LAN - GAMES EOOD,LAN - GAMES EOOD,,,0.1,2017
12219,Bullet Witch,X360,Atari,Cavia Inc.,6.6,,0.1,2007
12220,L'Aigle de Guerre,GBA,Nintendo,Genki,,,0.1,2001
12221,The Technomancer,PC,Focus Home Interactive,Spiders,5.6,6.6,0.1,2016
12222,Aidyn Chronicles: The First Mage,N64,THQ,H2O Interactive,6,,0.1,2001
12223,Ankh,PC,Viva Media,DECK13 Interactive,,,0.1,2006
12224,Disney's Donald Duck: Goin' Quackers,N64,Ubisoft,Disney Interactive Studios,,,0.1,2000
12225,Europa 1400: The Guild,PC,JoWood Productions,4HEAD Studios,8.5,,0.1,2002
12226,Flying Dragon,N64,Natsume,Culture Brain,5,,0.1,1998
12227,GT64 Championship Edition,N64,Ocean,Imagineer,,,0.1,1998
12228,Indy Racing 2000,N64,Infogrames,Paradigm Entertainment,8,,0.1,2000
12229,International Superstar Soccer 64 (weekly JP sales),N64,Konami,Konami Computer Entertainment Osaka,,,0.1,1997
12230,Jeopardy!,N64,GameTek,GameTek,,,0.1,1998
12231,Lode Runner 3-D,N64,Infogrames,Big Bang,7,,0.1,1999
12232,Milo's Astro Lanes,N64,Crave Entertainment,Player 1,6.1,,0.1,1998
12233,Touhou Luna Nights,PC,Vaka Game Magazine,Vaka Game Magazine,,,0.1,2019
12234,Virtual Pool 64,N64,Crave Entertainment,Celeris,8,,0.1,1998
12235,World War 3,PC,The Farm 51,The Farm 51,,,0.1,2018
12236,Gekido,PS,Interplay,NA.P.S. Team SNC,7.8,,0.1,2000
12237,World Series of Poker 2008: Battle for the Bracelets,PS3,Activision,Left Field Productions,7.9,,0.1,2007
12238,Michael Jackson The Experience HD,PSV,Ubisoft,Longtail Studios,5.7,6,0.1,2012
12239,Monkey Mischief! Party Time,Wii,Activision,Activision,,,0.1,2008
12240,Nascar Unleashed,PS3,Activision,Activision,,,0.1,2011
12241,Accel World vs. Sword Art Online: Millennium Twilight,PS4,Namco Bandai Games,Namco Bandai Games,6.4,6.1,0.1,2017
12242,Spider-Man: Web of Shadows,DS,Activision,Griptonite Games,7.9,,0.1,2008
12243,nail'd,X360,Deep Silver,Techland,,,0.1,2010
12244,Disney's The Jungle Book,GBA,Ubisoft,Visual Impact,5,,0.1,2003
12245,Rolling Stone: Drum King,Wii,505 Games,Del,3,,0.1,2009
12246,Little League World Series Baseball 2010,X360,Activision,Now Production,6,,0.1,2010
12247,FootLOL: Epic Fail League,PC,HeroCraft,Lion's Shade,,,0.1,2013
12248,Angry Birds: Star Wars,WiiU,Activision,Exient Entertainment,,,0.1,2013
12249,Army Men World War: Team Assault,PS,3DO,3DO,,,0.1,2001
12250,Murdered: Soul Suspect,X360,Square Enix,Airtight Games,,,0.1,2014
12251,Tom Clancy's Splinter Cell,GBA,Ubisoft,Ubisoft,8,,0.1,2003
12252,Wolfenstein The Two Pack,PS4,Bethesda Softworks,MachineGames,,,0.1,2017
12253,TrackMania Turbo,XOne,Ubisoft,Nadeo,,,0.1,2016
12254,Marvel vs. Capcom: Clash of Super Heroes,DC,Capcom,Capcom,8.5,,0.1,1999
12255,NBA Ballers: Rebound,PSP,Midway Games,Backbone Entertainment,7.3,,0.1,2006
12256,King's Field: The Ancient City,PS2,Agetec,From Software,6.6,,0.1,2002
12257,LEGO Rock Raiders,PS,LEGO Media,Data Design Interactive,6,,0.1,2000
12258,Silent Scope Complete,XB,Konami,Konami,7,,0.1,2004
12259,Odin Sphere: Leifthrasir,PS3,Atlus,Vanillaware,,,0.1,2016
12260,Ghost in the Shell,PS,THQ,Exact,8,,0.1,1997
12261,Divinity: Original Sin,XOne,Focus Home Interactive,Larian Studios,,,0.1,2015
12262,Tom Clancy's HAWX 2,Wii,Ubisoft,Ubisoft Bucharest,4,,0.1,2010
12263,Blades of Time,PS3,Konami Digital Entertainment,Gaijin Games Inc.,,,0.1,2012
12264,Evil Dead: Fistfull of Boomstick,XB,THQ,VIS Entertainment,,,0.1,2003
12265,Nicktoons MLB,DS,2K Sports,2K Sports,,,0.1,2011
12266,Tom Clancy's Classic Trilogy,XB,Ubisoft,Unknown,8,,0.1,2004
12267,Harvest Moon DS Cute (jp sales),DS,Natsume,Marvelous Interactive,,,0.1,2008
12268,Bleach: Dark Souls (JP sales),DS,Sega,"Treasure Co., Ltd.",,,0.1,2008
12269,Farming Simulator 2011,PC,Unknown,Giants Software,,,0.1,2010
12270,Indigo Prophecy,XB,Atari,Quantic Dream,8.4,,0.1,2005
12271,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,Benesse,Benesse,,,0.1,2007
12272,Over the Hedge,XB,Activision,Edge of Reality,6.6,,0.1,2006
12273,Start the Party! Save the World,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,,,0.1,2011
12274,SCORE International Baja 1000: The Official Game,Wii,Activision,Left Field Productions,,,0.1,2008
12275,Sneakers,XB,Microsoft Game Studios,Media.Vision,2,,0.1,2002
12276,Crime Crackers,PS,Sony Computer Entertainment,Media.Vision,,,0.1,1994
12277,NHL 2K6,X360,2K Sports,Kush Games,7.3,,0.1,2005
12278,Thor: God of Thunder,3DS,Sega,WayForward Technologies,6,4.2,0.1,2011
12279,Guilty Gear Xrd REV 2,PS4,Aksys Games,Arc System Works,,,0.1,2017
12280,Contact,DS,Atlus,Grasshopper Manufacture,7.5,,0.1,2006
12281,Micro Machines V3,PS,Midway Games,Codemasters,8.7,,0.1,1997
12282,Dragon Ball: Evolution,PSP,Namco Bandai,Dimps Corporation,3.4,,0.1,2009
12283,College Hoops 2K6,XB,2K Sports,Visual Concepts,8.3,,0.1,2005
12284,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,Sega,Overworks,,,0.1,2000
12285,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,THQ,Relic,8.6,,0.1,2010
12286,Idol Janshi Suchie-Pai Remix,SAT,Jaleco,Jaleco,,,0.1,1995
12287,Big League Sports,Wii,Activision,Koolhaus Games,2.3,,0.1,2008
12288,Cubic Ninja,3DS,Ubisoft,AQ Interactive,5.5,5.9,0.1,2011
12289,Exhibition Volume 03,XB,Microsoft,Various,,,0.1,2003
12290,Zero4 Champ RR-Z,SNES,Media Rings,Media Rings,,,0.1,1995
12291,Initial D: Street Stage,PSP,Sega,Sega Rosso,,,0.1,2006
12292,Tales of Innocence R,PSV,Namco Bandai,Alfa System,,,0.1,2012
12293,Nancy Drew: The Model Mysteries,DS,THQ,THQ,,,0.1,2010
